id	top_words
401	friend,universe,fade,liz,life,soulmate,friendship,live,chapter,love
402	arm,sing,updated monthly,updated,heart,hate,king,mar,pair,pop country
403	disney,musicals,broadway,hamilton,movies,musical,love,movie,sing,showtunes
404	aux,instant,pass,fantastic,groovin,szn,driving,station,low,created
405	indie,rock,garage,garage rock,punk,band,shoegaze,ass,pop,collaboration
406	point,faith,repeat,xo,anymore,existential,existential crisis,crisis,miss,se
407	indie,seattle,open,fit,super,rest,folksy,lyrics,americana,chilllll
408	lauren,el,love,lover,matter,friend,reminisce,past,esketit,homesick
409	vaporwave,outrun,synthwave,chill,electronic,sounds,synth,hold,tillfällen på,issa vibe
410	hell,lyrical,someday,a1,cheesy,reminded,picked,means,relationship,focus
411	rock,punk,metal,angst,pop,emo,pop punk,hard,school,teen
412	metal,rock,cover,deathcore,math,death,doom,power,death metal,heavy
413	chillin,rip,vibin,timeless,forgotten,movie,queens,soundtrack,reign,classics
414	fields,party,work,goods,sunflower,mad,upbeat,march,dance,funky
415	winter,bruno,easy,mars,december,account,weeknd,february,pepper,animals
416	drag,captures,spirit,read,butterflies,pop,queen,joyful,biggest,pride
417	deserve,life,happy birthday,feet,grab,bowl,hard,drink,proud,happy
418	love,life,girls,pride,lgbt,listened,stories,queer,guess,freaks
419	talk,bit,special,vids,wop,multiple,se,eras,homesick,fans
420	happy,bleh,missing,lovey,dovey,lovey dovey,wearing,difference,baby,happy happy
421	prince,funk,timeless,attitude,original,happy birthday,hope,hear,michael,birthday
422	meet,au,wistful,journey,campfire,red,relaxing,relax,revoir,au revoir
423	heart,live,silk,world,pt,basic,gross,shower,february,choose
424	constantly,ahead,zach,drive,personal,wop,multiple,se,eras,homesick
425	twilight,instrumental,fell,words,throw,lion,free,movies,check,soundtrack
426	love,cry,pop,cancer,sad,soft,vast,ran,male,ready
427	chill,work,electronic,ambient,mellow,atmospheric,instrumental,beautiful,vocals,coding
428	serendipity,user,josh,forever,finding,wop,multiple,se,eras,homesick
429	turnt,jiggy,happy,ma,regret,months,vids,wop,multiple,se
430	road,driving,wedding,world,dear,spread,mama,news,father,love today
431	push,extra,grateful,strong,motivational,morning,vids,eras,homesick,fans
432	carrie,amanda,fun,february,ass,contemplating,track,add,future,don
433	mixtape,goals,vids,boy bands,multiple,se,eras,homesick,fans,event
434	love,emo,life,rock,pop,panic,idk,nostalgia,party,work
435	punk,emo,life,pop punk,love,pop,sad,touch,swear,angsty
436	chill,epic,cheer,moments,alternative rock,roadtrip,alternative,ready,big,soundtrack
437	happy,party,mood,dance,world,sunshine,thing,dance party,lucky,home
438	groovy,2k17,tryin,channel,waste,genre,instrumentals,discovery,groove,pot
439	electronic,couple,experimental,voice,fever,dream,michael,select,dj,hurricane
440	road,september,mellow,november,test,march,adventure,driving,spring,serenity
441	ethereal,loungin,happy hour,sleepy,warmth,xoxo,mood,brooke,mornings,indie
442	chill,peace,jade,relax,sleepy,nights,slow,mind,feelings,oops
443	direction,1d,love,pretty,edit,justin,anymore,adventures,drive,throwback bops
444	sort,modern,hehe,shaped,constantly,sounds,grab,vibe,repeat,roots
445	lot,mental,roadtrip,ultimate,genres,program,brothers,composed,eras,choral
446	throwback,throwbacks,hop,hip,hip hop,school,party,tbt,2000s,rnb
447	love,candy,draw,shower,drawing,free,coming,ass,ear,pumped
448	french,la,française,jazz,france,je,chanson,français,en,subgenre
449	minutes,paradise,vinyasa,composed,event,mis,dads,multiple,se,eras
450	love,flashbacks,ease,october,leo,couple,kill,alive,plenty,sleepy
451	sad,love,cry,rainy,sleep,slow,chill,sad sad,calm,mind
452	partner,short,funny,swear,remind,crime,person,aux,compilation,sexual
453	jump,likes,tunez,mama,folk,dancing,machine,mom,december,endless
454	german,hahaha,beach,chosen,learn,und,pineapple,fabulous,rap,musik
455	chapter,sophmore,man,single,life,chill,composed,deeply,se,eras
456	mayer,john mayer,john,chill,morning,johnson,relax,jack,jack johnson,sunday
457	chill,weird,quinn,blackbear,jon,bellion,freshest,eden,tryna chill,tryna
458	running,catchy,mothers,te,covers,moving,missing,edgy,super,horrible
459	company,loves,fun,cole,likes,studying,study,influenced,human,bad
460	workout,uplift,clear mind,ta,catchy description,shape,clear,catchy,bpm,mind
461	end,throwback,edit,amazing,driving,aka,popular,spanish,low,rappers
462	love,love love,freshman,ouch,high,lie,high school,remember,crushes,weird
463	animals,glass,glass animals,luis,mind,jungle,indie rock,peanut,breath,peanut butter
464	fifa,stop,waves,bit,james,world,begin,sit,moved,cars
465	walking,words,honey,vids,boy bands,se,eras,homesick,fans,event
466	rap pop,underrated,hip hop,hip,hop,soul,hop rap,late,electronic,weird
467	gorillaz,car,catchy,class,lily,hey,influential,zone,flaming,frank
468	junior,read,skam,low,singers,spark,boi,type,spring,hey
469	dark,peach,lying,bottle,sweater weather,motivate,study,colors,memory,rise
470	car,road,happy,drive,walking,happiness,beautiful,words,zac brown,catchy
471	high,chill,stoned,stay,catchy,touch,stoner,remind,vol,combination
472	christian,rap,christian rap,nf,hip hop,hip,hop,kb,gospel,cover
473	alive,tuesday,art,stay alive,paige,stay,masterpieces,gems,moonlight,boy bands
474	study,boi,starbucks,studying,chainsmokers,esketit,eras,homesick,fans,event
475	workout,picture,jean,die,world,beach,missing,power,hype,ripped
476	chill,relax,genre,hypnotic,electronic,frame,pick,boop,rhythm,groovy
477	sad,big,chill,group,actual,chilly,vids,multiple,se,eras
478	olivia,essentials,version,tears,classics,vids,esketit,eras,homesick,fans
479	spring,april,change,break,spring break,iv,fun,suck,guys,hope
480	love,wave,tea,warm,calm,july,colors,created,nostalgia,baby
481	irish,folk,sea shanties,sea,celtic,shanties,scotland,ireland,bar,black flag
482	chill,jazz,hop,funk,smooth,chill tf,soul,hip,vibey,meets
483	worship,jesus,god,praise,christian,lord,love,gospel,church,sing
484	fluff,2k16,combination,remind,jay,bangers,blackout,related,wrong,basketball
485	chill chill,sadness,rain,sad,heavy,chill,bad,chainsmokers,eras,homesick
486	everyday,trip,road,emily,room,paris,heart,hour,bops,halsey
487	spice,pumpkin,morning,metallica,leaves,crisp,floating,walks,park,boots
488	dance,hailey,city,bops,january,cod,kayla,sam,trash,person
489	alt,indie,lineup,eclectic,matthew,aka,animal,monday,words,creepy
490	hardstyle,hype,bass,high,sauce,staples,det,enjoyment,elevator,bwom bwom
491	indian,hindi,bach,world,golden oldies,world cover,golden,fob,biggest,india
492	graduation,flavor,tasty,hope,syd,upbeat,consists,era,mashup,movie
493	home,november,looked,mountains,familiar,constantly,emma,hurricane,city,exciting
494	color,colors,reading,goosebumps,suck,dry,title,rosie,se,eras
495	summa,happen,road,cheers,lot,throw,fuego,thing,boyfriend,cruise
496	love,social,love love,destruction,ultimate,matt,boy bands,se,eras,homesick
497	chill,chillin,wanderlust,winter,based,bad,graduation,sound,grad party,congrats
498	soft,pink,boy,beginning,stressed,blowing,candy,stars,stays,aw
499	dance,pop,dances,hip hop,beast,edgy,fit,vibez,guess,st
500	indie,la vie,la,likes,ta,beach,mood,psyched,vie,life
501	ukulele,en rose,til,soothing sounds,la,relax,drift,dreams,vie en,rose
502	replay,yeet,pizza,pretty,meow,check,megan,bump,lift,scott
503	forrest,happen,balls,remembering,ultimate,bliss,fire,dr,breathing,run forrest
504	wo,easy,driving,sunday,michael,morning,sleep,necessarily,road,afternoon
505	collab,called,object,idea,kidding,work,insert,thing,ca,talented
506	tyler,trap,latin,mixture,creator,spanish,word,lil,embarrassing,recording
507	october,hell,sunday morning,bit,sunday,morning,chilly,oct,eve,deeply
508	chill,rap,creator,tyler,ocean,frank ocean,frank,dope,members,chill rap
509	pain,beat,generation,legendary,minds,prepare,roadtrip,soundtrack,boy bands,eras
510	halloween,spooky,party,scary,halloween party,october,creepy,spoopy,season,classics
511	female,wife,art,space,providing,bearable,freedom,epic,original,july
512	beloved,happy,popular,king,life,joyful,michael jackson,michael,pop,jackson
513	casual,delete,remixes,fun,nostalgia,upbeat,mess,homesick,fans,event
514	fugue,art,works,focus,writing,write,modern,chart,remind,silly
515	post,khalid,post malone,malone,logic,rihanna,buzz,travis,kodak,mello
516	game,anime,fnaf,love,japanese,soundtracks,games,relaxing,undertale,video
517	chill,coast,life,home,positivity,sun,slow,ski,soundtrack,emo
518	versions,death,support,info,ta,eagles,head,basically,2k16,forward
519	zouk,sexy,chill,mellow,chill chill,amor,soft,heavy,gas,eras
520	soul,sound,late,hall,lies,road,april,blues,world,loud
521	thing,love,instagram,beautiful,adventures,wattpad,heart,book,written,vids
522	stories,poetry,poems,love,romantic,short,short stories,featuring,sensual,bohemian
523	love,love love,bunch,sweet,world,lauren,robert,ways,baby,evil
524	warning,content,explicit,explicit content,warning explicit,comedians,funny,comedy,laugh,bored
525	fire,distance,small,big,casual,falling,wind,love,brothers,esketit
526	chill,dance,edm,house,electronic,mood,tropical,beach,tropical house,upbeat
527	chill,man,chillin,drugs,chill indie,hey,hip hop,und,fun,muse
528	love,nathan,joy,georgia,homesick,foreign,brings,comfort,nostalgia,boys
529	chill bro,chill,type,connected,bro,memories,studying,vids,eras,homesick
530	bruno,bruno mars,mars,swag,funk,cooking,featuring,pop,cleaning,voice
531	tree,nostalgia,hill,sad,tree hill,show,alternative,bad,early,train
532	surfing,moment,dreaming,pond,living,chill chill,depressing,kinda,edge,ultimate
533	cuba,jazz,brazilian,spanish,genres,salsa,nova,bossa,bossa nova,sip
534	electronic,party,event,electric,echo,upbeat,forest,genre,dance,hottest
535	autumn,nature,seasonal,orange,indigo,inspiration,global,red,mellow,season
536	female,queen,women,blue,bad,power,turner,girl power,smith,icons
537	march,curated,heat,fire,based,inside,birthday,red,created,park
538	party,guarantee,wavy,heat,ultimate,feet,summertime,party party,sand,hand
539	dance,pop,trendy,alright,listened,bad,smile,joey,growing,upbeat pop
540	girl,girl power,power,love,women,female,world,celebrate,girls,pop
541	girl,september,warm,sweet sweet,sweet,talk,moon,goods,slaps,hey
542	drake,drizzy,chill,hop,ovo,hip,hip hop,rap,car,champagne
543	order,indie,soft,type,timeless,indie pop,obsessed,finally,mixed emotions,bop
544	jazz,smooth,jazzy,classics,fusion,band,swing,ca,relaxing,standards
545	stage,breakup,carry,anger,blues,vids,homesick,fans,event,wop
546	dance,vocal,chill,melodic,chill rap,rap,future,future bass,dreamy,relaxed
547	show,ride,senior,palm springs,motivation,performances,palm,press,ice,adventures
548	live,ready,upcoming,saturday,lolla,festival,weekend,hear,acl,sending
549	chill,slow,set,relax,esketit,se,eras,homesick,fans,event
550	dance,dancehall,heat,african,cover,world cover,africa,moving,hips,world
551	toast,inspiring,mood,weather,grl,grl pwr,pwr,colder,depending,winter
552	low key,types,sarah,low,key,safety,relax,miss,scars,heart
553	grew,bae,simp,style,vids,esketit,eras,homesick,fans,event
554	hell,strut,hip hop,downtown,google,hip,hop,city,hill,hop rap
555	lmao,season,home,literally,talented,multiple,eras,homesick,fans,event
556	human,career,starts,start,breath,takes,bone,watching,melodies,lee
557	michael,loved,love,inspiration,easy,sounds,lesser,afraid,dancers,se
558	chill,love,relax,alt,show,goods,nap,sit,moving,start
559	love,love love,adore,start,pain,lovely,saturday,partay,miscellaneous,pic
560	electro,swing,electro swing,funk,chill,modern,electronic,genre,streaming,hop
561	fusion,friend,whilst,cooking,blues,yoga,sounding,study,asleep,zouk
562	sing,love,disney,clean,fun,wedding,britt,alongs,sing alongs,band
